episode,reward,loss,frequency,sigma
397,3.7913596630096436,7.784580707550049,0.8,44.02127845348323
398,3.9467825889587402,2.545395851135254,0.0,45.32023280978267
399,4.621791362762451,19.5699462890625,0.775,67.31105838204856
400,6.388253211975098,7.194184303283691,0.775,47.18542145449684
401,0.38727015256881714,28.419034957885742,0.775,52.20416291635513
402,1.5899972915649414,-4.416130065917969,0.0,43.45791020716915
403,5.403283596038818,6.316088676452637,0.0,55.44193761284383
404,3.8361754417419434,-6.733889579772949,0.8,59.13964758716836
405,0.6813774704933167,-11.295880317687988,0.0,40.43599797219527
406,2.1698830127716064,22.90576171875,0.8,48.22489640839265
407,-1.0384459495544434,26.598526000976562,0.775,55.50232649282108
408,4.199789047241211,3.1711506843566895,0.0,40.04672523343052
409,2.970202922821045,18.890165328979492,0.775,50.48283308204487
410,3.8167152404785156,14.058332443237305,0.0,42.659508657333305
411,4.914331912994385,25.504552841186523,0.775,53.37442494641097
412,1.2300723791122437,16.619888305664062,0.0,46.88700148329585
413,0.09369051456451416,2.3155875205993652,0.775,41.53085404275338
414,5.968163013458252,10.41016960144043,0.775,73.48895456415929
415,0.7400500774383545,-11.087892532348633,0.0,35.64865226977489
416,-2.8919835090637207,22.185632705688477,0.775,66.66033125970374
417,-1.1506707668304443,7.365203380584717,0.775,72.44296896144711
418,-0.7456390857696533,6.6598219871521,0.0,50.21845011269599
419,4.315918445587158,-3.3383960723876953,0.775,66.77923681068957
420,1.237330675125122,5.354162216186523,0.0,56.037276134992034
421,1.1427242755889893,4.179897785186768,0.775,56.77237181547191
422,1.8391740322113037,2.253202199935913,0.775,53.51631949089805
423,3.5908584594726562,15.279438972473145,0.775,67.05858881368067
424,0.05408310890197754,28.258127212524414,0.775,60.75719904500649
425,0.8437274694442749,1.9519144296646118,0.8,48.22027584864161
426,2.480842351913452,-17.298479080200195,0.0,44.618911720735674
427,0.7924387454986572,-4.827585697174072,0.0,42.33659575506685
428,6.070525169372559,-8.089062690734863,0.8,42.75066296151326
429,2.762899398803711,22.59772300720215,0.0,48.42772445001866
430,1.6549694538116455,15.550566673278809,0.775,54.919992507886995
431,1.456172227859497,5.309905052185059,0.0,40.41151170309104
432,1.0370138883590698,-21.565631866455078,0.775,46.46609604997281
433,-1.1288809776306152,-0.4146682918071747,0.775,96.8487273267426
434,3.2964048385620117,-34.84139633178711,0.0,53.06558870663865
435,3.0009994506835938,-5.760636329650879,0.775,57.953619071343105
436,2.2875871658325195,-8.387173652648926,0.775,49.264176386073636
437,1.1880956888198853,10.405597686767578,0.0,52.68654897634195
438,9.307076454162598,-8.497824668884277,0.0,44.11394167160889
439,2.75284481048584,-15.991048812866211,0.775,60.82997167097233
